pinName, pin
TEST_BUMP_POS_O, 188
TEST_BUMP_NEG_O, 186
TEST_BUMP_STOP_O, 184
AO_VBUFF_0, 177
AO_VBUFF_1, 175
AO_VBUFF_2, 173
AO_VBUFF_3, 171
AO_VBUFF_4, 80
AO_VBUFF_5, 77
AO_VBUFF_6, 74
AO_VBUFF_7, 71
AO_VBUFF_8, 68
AO_VBUFF_9, 65
AO_VBUFF_10, 62
