pinName, pin, default_value_(V)
BIAS_GEN, 138, X
BG_MOSI, 135, X
BG_SCK, 134, X
RST_BG, 137, X
RST_SYN_NAM, 0, 38
RST_SYN_GAB, 0, 27
RST_S_PAD, 17, 1.8
RST_P_PAD, 16, 1.8
RST_LFSR, 121, 0
TEST_LFSR_CLK, 120, X
ENABLE_STOP_LEARN, 122, 0
ENABLE_ANALOG_BUFF, 12, 0
AER_INPUT_ENCODER_ACK, 128, X
AER_INPUT_II_REQ, 15, X
AER_INPUT_C2F_ACK, 13, X
