biasName, value_(mV), address
TEST_BUMP_POS_I        ,400,49
TEST_BUMP_NEG_I        ,500,50
TEST_BUMP_BIAS         ,1200,51
TEST_BIAS_P_BUFFER     ,400,52
TEST_ABS_STOP_WIDTH_VP ,1600,53
TEST_WTA_TAIL_BIAS_VN  ,600,54
TEST_LB_PA_TAIL_RN     ,1700,55
TEST_LB_TARGET_VN      ,1200,56
TEST_LB_NEURON_VN      ,400,57
SYNA_HALF_VDD          ,900,58
TEST_BUMP_VWELL        ,1800,59
