biasName, value_(mV), address
CH0, 900, 0
CH1, 900, 1
CH2, 900, 2
CH3, 900, 3
CH4, 900, 4
CH5, 900, 5
CH6, 900, 6
CH7, 900, 7
CH8, 900, 8
CH9, 900, 9
CH10, 900, 10
CH11, 900, 11
