biasName, value_(mV), address
TEST_BUMP_POS_I        ,0,1
TEST_BUMP_NEG_I        ,0,2
TEST_BUMP_BIAS         ,0,3
TEST_BIAS_P_BUFFER     ,0,4
TEST_ABS_STOP_WIDTH_VP ,1600,5
TEST_WTA_TAIL_BIAS_VN  ,600,6
TEST_LB_PA_TAIL_RN     ,1700,7
TEST_LB_TARGET_VN      ,0,8
TEST_LB_NEURON_VN      ,0,9
SYNA_HALF_VDD          ,0,:
TEST_BUMP_VWELL        ,0,;
