data(in decimal), ISI(10 us)
0, 65535
1, 65535
2, 65535
8, 65535
128, 65535
32768, 65535
65535, 65535
0, 65535
1, 65535
2, 65535
8, 65535
128, 65535
32768, 65535
65535, 65535
